(217, 23544, 23545)
(217, 3360, 3367)
(217, 744, 775)
(217, 456, 505)
(218, 11880, 11882)
(219, 23980, 23981)
(219, 7992, 7995)
(219, 2660, 2669)
(219, 292, 365)
(220, 12099, 12101)
(220, 6048, 6052)
(220, 3021, 3029)
(220, 2415, 2425)
(220, 1200, 1220)
(220, 1089, 1111)
(220, 585, 625)
(220, 528, 572)
(220, 459, 509)
(220, 231, 319)
(221, 24420, 24421)
(221, 1872, 1885)
(221, 1428, 1445)
(222, 12320, 12322)
(222, 4104, 4110)
(222, 1360, 1378)
(222, 296, 370)
(223, 24864, 24865)
(224, 12543, 12545)
(224, 6270, 6274)
(224, 3132, 3140)
(224, 1785, 1799)
(224, 1560, 1576)
(224, 882, 910)
(224, 768, 800)
(224, 420, 476)
(224, 360, 424)
(225, 25312, 25313)
(225, 8436, 8439)
(225, 5060, 5065)
(225, 2808, 2817)
(225, 1680, 1695)
(225, 1000, 1025)
(225, 924, 951)
(225, 540, 585)
(225, 300, 375)
(225, 272, 353)
(226, 12768, 12770)
(227, 25764, 25765)
(228, 12995, 12997)
(228, 6496, 6500)
(228, 4329, 4335)
(228, 3245, 3253)
(228, 2160, 2172)
(228, 1435, 1453)
(228, 1071, 1095)
(228, 704, 740)
(228, 665, 703)
(228, 325, 397)
(228, 304, 380)
(229, 26220, 26221)
(230, 13224, 13226)
(230, 2640, 2650)
(230, 552, 598)
(230, 504, 554)
(231, 26680, 26681)
(231, 8892, 8895)
(231, 3808, 3815)
(231, 2960, 2969)
(231, 2420, 2431)
(231, 1260, 1281)
(231, 792, 825)
(231, 520, 569)
(231, 392, 455)
(231, 308, 385)
(232, 13455, 13457)
(232, 6726, 6730)
(232, 3360, 3368)
(232, 1674, 1690)
(232, 825, 857)
(232, 435, 493)
(233, 27144, 27145)
(234, 13688, 13690)
(234, 4560, 4566)
(234, 1512, 1530)
(234, 1040, 1066)
(234, 480, 534)
(234, 312, 390)
(235, 27612, 27613)
(235, 5520, 5525)
(235, 1092, 1117)
(235, 564, 611)
(236, 13923, 13925)
(236, 6960, 6964)
(236, 3477, 3485)
(237, 28084, 28085)
(237, 9360, 9363)
(237, 3116, 3125)
(237, 316, 395)
(238, 14160, 14162)
(238, 2016, 2030)
(238, 816, 850)
(238, 240, 338)
(239, 28560, 28561)
(240, 14399, 14401)
(240, 7198, 7202)
(240, 4797, 4803)
(240, 3596, 3604)
(240, 2875, 2885)
(240, 2394, 2406)
(240, 1792, 1808)
(240, 1591, 1609)
(240, 1430, 1450)
(240, 1188, 1212)
(240, 945, 975)
(240, 884, 916)
(240, 782, 818)
(240, 700, 740)
(240, 576, 624)
(240, 551, 601)
(240, 450, 510)
(240, 418, 482)
(240, 364, 436)
(240, 320, 400)
(240, 275, 365)
(240, 252, 348)
(241, 29040, 29041)
(242, 14640, 14642)
(242, 1320, 1342)
(243, 29524, 29525)
(243, 9840, 9843)
(243, 3276, 3285)
(243, 1080, 1107)
(243, 324, 405)
(244, 14883, 14885)
(244, 7440, 7444)
(244, 3717, 3725)
(245, 30012, 30013)
(245, 6000, 6005)
(245, 4284, 4291)
(245, 1188, 1213)
(245, 840, 875)
(245, 588, 637)
(246, 15128, 15130)
(246, 5040, 5046)
(246, 1672, 1690)
(246, 328, 410)
(247, 30504, 30505)
(247, 2340, 2353)
(247, 1596, 1615)
(248, 15375, 15377)
(248, 7686, 7690)
(248, 3840, 3848)
(248, 1914, 1930)
(248, 945, 977)
(248, 465, 527)
(249, 31000, 31001)
(249, 10332, 10335)
(249, 3440, 3449)
(249, 332, 415)
(250, 15624, 15626)
(250, 3120, 3130)
(250, 600, 650)
(251, 31500, 31501)
(252, 15875, 15877)
(252, 7936, 7940)
(252, 5289, 5295)
(252, 3965, 3973)
(252, 2640, 2652)
(252, 2261, 2275)
(252, 1755, 1773)
(252, 1311, 1335)
(252, 1120, 1148)
(252, 864, 900)
(252, 735, 777)
(252, 561, 615)
(252, 539, 595)
(252, 405, 477)
(252, 336, 420)
(252, 275, 373)
(253, 32004, 32005)
(253, 2904, 2915)
